ts,host,pid,ppid,uid,user,exe,cmdline,syscall,path,dir,filename,ext,new_path,bytes_written,perm,owner,retval,from_writable_exec,is_attack,campaign_id,minute,is_sensitive_path,is_backup_path,is_exec_from_writable,is_delete_backup,label
2026-01-19 10:50:45,app1,33972,93,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/backup/glgmfmcr.bak,/opt/app/data,evfgms.xls,.xls,/var/tmp/scratch/evfgms.xls.encrypted,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,1,0,1,1,1
2026-01-19 10:48:58,db1,41062,74,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/work/wyfnzvub.xls,/var/tmp/work,wyfnzvub.xls,.xls,,0,,,0,0,0,,2026-01-19 10:48:00,0,0,0,0,0
2026-01-19 09:52:01,app1,37987,56,0,root,/usr/bin/vim,/usr/bin/vim,write,/var/tmp/scratch/vcwplqpx.db,/var/tmp/scratch,vcwplqpx.db,.db,,1450,,,0,0,0,,2026-01-19 09:52:00,0,0,0,0,0
2026-01-19 09:58:46,fs1,17856,63,0,root,/usr/bin/mv,/usr/bin/mv,open,/var/tmp/work/clitdn.bak,/var/tmp/work,clitdn.bak,.bak,,0,,,0,0,0,,2026-01-19 09:58:00,0,0,0,0,0
2026-01-19 09:48:45,app1,19772,32,1000,app,/usr/sbin/logrotate,/usr/sbin/logrotate /etc/logrotate.conf,write,/var/tmp/cache/wddoyizv.docx,/var/tmp/cache,wddoyizv.docx,.docx,,1351,,,0,0,0,,2026-01-19 09:48:00,0,0,0,0,0
2026-01-19 10:43:10,app1,8978,1,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,rename,/opt/app/data/spsdembn.xlsx,/opt/app/data,spsdembn.xlsx,.xlsx,/var/tmp/cache/spsdembn.xlsx.encrypted,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:43:00,1,0,1,0,1
2026-01-19 10:44:59,fs1,48188,41,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/work/hbrhym.cfg,/var/tmp/work,hbrhym.cfg,.cfg,,0,,,0,0,0,,2026-01-19 10:44:00,0,0,0,0,0
2026-01-19 10:44:23,app1,31605,22,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/var/lib/uvfmk.bak,/var/lib,uvfmk.bak,.bak,,95144,,,0,1,1,CAMP-RW-001,2026-01-19 10:44:00,1,0,1,0,1
2026-01-19 10:47:59,app1,5971,58,1002,user1,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/backup/xjpmaxsvh.bak,/opt/app/data,hsrrspgh.docx,.docx,,0,400.0,,0,1,1,CAMP-RW-001,2026-01-19 10:47:00,1,0,1,1,1
2026-01-19 10:16:03,db1,209,16,1001,backup,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,open,/var/tmp/work/oxujdutof.cfg,/var/tmp/work,oxujdutof.cfg,.cfg,,0,,,0,0,0,,2026-01-19 10:16:00,0,0,0,0,0
2026-01-19 11:30:18,app1,48997,41,1002,user1,/usr/bin/bash,/usr/bin/bash,execve,/var/lib/lctalbui.xlsx,/var/lib,lctalbui.xlsx,.xlsx,,0,,,0,0,0,,2026-01-19 11:30:00,1,0,0,0,0
2026-01-19 10:44:13,app1,17649,92,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/srv/data/nzkwcixzng.xls,/srv/data,nzkwcixzng.xls,.xls,,21977,,,0,1,1,CAMP-RW-001,2026-01-19 10:44:00,1,0,1,0,1
2026-01-19 10:50:40,app1,39437,19,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/srv/data/projects/drpnapf.doc,/srv/data/projects,drpnapf.doc,.doc,,32493,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,0,0,1,0,1
2026-01-19 10:44:49,app1,28600,13,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/home/user1/docs/jqhns.docx,/home/user1/docs,jqhns.docx,.docx,,0,,,-1,1,1,CAMP-RW-001,2026-01-19 10:44:00,0,0,1,0,1
2026-01-19 10:02:11,app1,5710,16,1000,app,/usr/bin/bash,/usr/bin/bash,open,/var/tmp/cache/xndlqrdr.txt,/var/tmp/cache,xndlqrdr.txt,.txt,,0,,,0,0,0,,2026-01-19 10:02:00,0,0,0,0,0
2026-01-19 10:45:52,app1,39124,22,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/home/mdlhqtlhhb.pdf,/home,mdlhqtlhhb.pdf,.pdf,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:45:00,1,0,1,0,1
2026-01-19 11:25:14,fs1,26753,21,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/scratch/moxpochpbq.tmp,/var/tmp/scratch,moxpochpbq.tmp,.tmp,,0,,,0,0,0,,2026-01-19 11:25:00,0,0,0,0,0
2026-01-19 10:45:29,app1,36938,74,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/opt/app/data/iiunk.doc,/opt/app/data,iiunk.doc,.doc,,20759,,,0,1,1,CAMP-RW-001,2026-01-19 10:45:00,1,0,1,0,1
2026-01-19 10:50:25,app1,27212,93,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/backup/qdgdrezkq.bak,/home,nltxd.xlsx,.xlsx,,44535,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,1,0,1,1,1
2026-01-19 10:46:54,app1,4157,3,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/backup/icygdwnpc.bak,/srv/data/projects,dqikzr.xlsx,.xlsx,,62308,,,0,1,1,CAMP-RW-001,2026-01-19 10:46:00,0,0,1,1,1
2026-01-19 10:41:10,app1,22786,31,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/opt/app/data/kanvs.docx,/opt/app/data,kanvs.docx,.docx,,19555,,,0,1,1,CAMP-RW-001,2026-01-19 10:41:00,1,0,1,0,1
2026-01-19 10:07:28,db1,42905,42,1002,user1,/usr/bin/cp,/usr/bin/cp,open,/var/tmp/scratch/jktelveou.log,/var/tmp/scratch,jktelveou.log,.log,,0,,,0,0,0,,2026-01-19 10:07:00,0,0,0,0,0
2026-01-19 10:09:00,fs1,10371,20,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --inc,write,/mnt/backup/hvvjup.txt,/mnt/backup,hvvjup.txt,.txt,,11920,,,0,0,0,CAMP-BENIGN-BACKUP,2026-01-19 10:09:00,0,1,0,0,0
2026-01-19 10:42:19,app1,41622,62,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,rename,/opt/app/data/rxyclnjm.docx,/opt/app/data,rxyclnjm.docx,.docx,/etc/rxyclnjm.docx.encrypted,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:42:00,1,0,1,0,1
2026-01-19 10:55:55,fs1,5185,8,0,root,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,write,/srv/data/ysonrkcuz.log,/srv/data,ysonrkcuz.log,.log,,2125,,,0,0,0,,2026-01-19 10:55:00,1,0,0,0,0
2026-01-19 10:48:24,app1,32142,91,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/var/lib/aiknjqszxv.docx,/var/lib,aiknjqszxv.docx,.docx,,4012,,,0,1,1,CAMP-RW-001,2026-01-19 10:48:00,1,0,1,0,1
2026-01-19 09:33:28,app1,455,17,0,root,/usr/sbin/logrotate,/usr/sbin/logrotate /etc/logrotate.conf,write,/var/tmp/work/mzjtwd.txt,/var/tmp/work,mzjtwd.txt,.txt,,1716,,,0,0,0,,2026-01-19 09:33:00,0,0,0,0,0
2026-01-19 10:41:23,app1,842,84,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/etc/tfudyrts.pdf,/etc,tfudyrts.pdf,.pdf,,68399,,,0,1,1,CAMP-RW-001,2026-01-19 10:41:00,1,0,1,0,1
2026-01-19 10:47:05,app1,30441,17,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/etc/eaoymv.pdf,/etc,eaoymv.pdf,.pdf,,6498,,,0,1,1,CAMP-RW-001,2026-01-19 10:47:00,1,0,1,0,1
2026-01-19 10:43:01,app1,14563,18,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,chmod,/home/user1/docs/kmgumld.xls,/home/user1/docs,kmgumld.xls,.xls,,0,644.0,,0,1,1,CAMP-RW-001,2026-01-19 10:43:00,0,0,1,0,1
2026-01-19 10:44:19,db1,11892,9,1001,backup,/usr/bin/cp,/usr/bin/cp,write,/var/tmp/work/pyjilyqe.log,/var/tmp/work,pyjilyqe.log,.log,,770,,,0,0,0,,2026-01-19 10:44:00,0,0,0,0,0
2026-01-19 11:30:01,db1,19762,90,1000,app,/usr/bin/bash,/usr/bin/bash,write,/var/tmp/cache/mzhkleuorv.docx,/var/tmp/cache,mzhkleuorv.docx,.docx,,9101,,,0,0,0,,2026-01-19 11:30:00,0,0,0,0,0
2026-01-19 10:05:23,fs1,36490,90,1001,backup,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --inc,unlink,/srv/backup/xrpdwfyv.xls,/srv/backup,xrpdwfyv.xls,.xls,,0,,,0,0,0,CAMP-BENIGN-BACKUP,2026-01-19 10:05:00,0,1,0,0,0
2026-01-19 10:48:55,db1,40005,81,1002,user1,/usr/bin/cp,/usr/bin/cp,execve,/var/tmp/scratch/hsmiuzxxmal.txt,/var/tmp/scratch,hsmiuzxxmal.txt,.txt,,0,,,0,0,0,,2026-01-19 10:48:00,0,0,0,0,0
2026-01-19 10:49:03,app1,15157,82,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/data/vyrlim.pdf,/srv/data,vyrlim.pdf,.pdf,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,1,0,1,0,1
2026-01-19 10:12:47,app1,35566,67,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/cache/hmykodscubj.tmp,/var/tmp/cache,hmykodscubj.tmp,.tmp,,0,,,0,0,0,,2026-01-19 10:12:00,0,0,0,0,0
2026-01-19 10:42:24,app1,36984,31,1002,user1,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,rename,/var/lib/fuxgkv.xlsx,/var/lib,fuxgkv.xlsx,.xlsx,/var/tmp/scratch/fuxgkv.xlsx.encrypted,0,,,-1,1,1,CAMP-RW-001,2026-01-19 10:42:00,1,0,1,0,1
2026-01-19 09:48:49,fs1,40237,70,1002,user1,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,rename,/var/tmp/work/vplvwp.log,/var/tmp/work,vplvwp.log,.log,/var/tmp/work/vplvwp.log.bak,0,,,0,0,0,,2026-01-19 09:48:00,0,0,0,0,0
2026-01-19 11:26:17,db1,23081,72,1000,app,/usr/bin/bash,/usr/bin/bash,execve,/var/tmp/scratch/rljtmcobd.xlsx,/var/tmp/scratch,rljtmcobd.xlsx,.xlsx,,0,,,0,0,0,,2026-01-19 11:26:00,0,0,0,0,0
2026-01-19 10:41:48,app1,28971,47,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,open,/var/lib/himvpg.xlsx,/var/lib,himvpg.xlsx,.xlsx,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:41:00,1,0,1,0,1
2026-01-19 10:49:52,app1,48494,96,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/home/user1/docs/tctacfzf.db,/home/user1/docs,tctacfzf.db,.db,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,0,0,1,0,1
2026-01-19 10:39:45,fs1,7933,58,0,root,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,execve,/home/bynvuyrs.doc,/home,bynvuyrs.doc,.doc,,0,,,0,0,0,,2026-01-19 10:39:00,1,0,0,0,0
2026-01-19 10:42:06,app1,32984,32,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/home/wwsthebca.xls,/home,wwsthebca.xls,.xls,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:42:00,1,0,1,0,1
2026-01-19 10:21:47,app1,19355,14,1000,app,/usr/sbin/logrotate,/usr/sbin/logrotate /etc/logrotate.conf,execve,/var/tmp/cache/gahzemamboo.db,/var/tmp/cache,gahzemamboo.db,.db,,0,,,0,0,0,,2026-01-19 10:21:00,0,0,0,0,0
2026-01-19 10:46:46,app1,32364,65,1002,user1,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/opt/app/data/tsaiatmfozj.pdf,/opt/app/data,tsaiatmfozj.pdf,.pdf,,6154,,,0,1,1,CAMP-RW-001,2026-01-19 10:46:00,1,0,1,0,1
2026-01-19 09:33:06,fs1,29502,56,1001,backup,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,rename,/etc/yxrjgg.tmp,/etc,yxrjgg.tmp,.tmp,/etc/yxrjgg.tmp.rotated,0,,,0,0,0,,2026-01-19 09:33:00,1,0,0,0,0
2026-01-19 09:54:09,fs1,47945,6,0,root,/usr/bin/bash,/usr/bin/bash,open,/var/tmp/cache/yhpfn.txt,/var/tmp/cache,yhpfn.txt,.txt,,0,,,0,0,0,,2026-01-19 09:54:00,0,0,0,0,0
2026-01-19 10:49:00,fs1,27740,82,0,root,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,write,/opt/app/data/yzssqbtkd.cfg,/opt/app/data,yzssqbtkd.cfg,.cfg,,3181,,,0,0,0,,2026-01-19 10:49:00,1,0,0,0,0
2026-01-19 09:56:37,app1,43936,98,1001,backup,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,execve,/var/tmp/work/svhdafpxsb.cfg,/var/tmp/work,svhdafpxsb.cfg,.cfg,,0,,,0,0,0,,2026-01-19 09:56:00,0,0,0,0,0
2026-01-19 10:47:09,db1,29362,50,1000,app,/usr/bin/vim,/usr/bin/vim,open,/var/tmp/cache/klfooqyahf.log,/var/tmp/cache,klfooqyahf.log,.log,,0,,,0,0,0,,2026-01-19 10:47:00,0,0,0,0,0
2026-01-19 10:01:23,fs1,9087,77,1001,backup,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --inc,open,/mnt/backup/ncwjwdcdlt.xlsx,/mnt/backup,ncwjwdcdlt.xlsx,.xlsx,,0,,,0,0,0,CAMP-BENIGN-BACKUP,2026-01-19 10:01:00,0,1,0,0,0
2026-01-19 10:50:05,app1,41090,18,1002,user1,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,unlink,/srv/backup/mzphqnjht.bak,/srv/data/projects,tphmoi.xlsx,.xlsx,/var/tmp/work/tphmoi.xlsx.encrypted,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,0,0,1,1,1
2026-01-19 11:11:24,app1,39838,63,0,root,/usr/sbin/rsyslogd,/usr/sbin/rsyslogd,open,/var/tmp/work/gogdu.tmp,/var/tmp/work,gogdu.tmp,.tmp,,0,,,0,0,0,,2026-01-19 11:11:00,0,0,0,0,0
2026-01-19 10:50:02,app1,34403,14,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,chown,/home/duurjb.xls,/home,duurjb.xls,.xls,,0,,nobody:nogroup,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,1,0,1,0,1
2026-01-19 10:58:44,db1,42564,82,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/scratch/kbozbnfltm.doc,/var/tmp/scratch,kbozbnfltm.doc,.doc,,0,,,0,0,0,,2026-01-19 10:58:00,0,0,0,0,0
2026-01-19 10:49:51,app1,14267,71,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/home/user1/docs/zelzioxhwg.pdf,/home/user1/docs,zelzioxhwg.pdf,.pdf,,7683,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,0,0,1,0,1
2026-01-19 11:09:48,fs1,24961,45,1000,app,/usr/bin/cp,/usr/bin/cp,execve,/var/tmp/work/lvuwfveelc.db,/var/tmp/work,lvuwfveelc.db,.db,,0,,,0,0,0,,2026-01-19 11:09:00,0,0,0,0,0
2026-01-19 10:50:10,app1,39284,3,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,rename,/etc/vcczck.xlsx,/etc,vcczck.xlsx,.xlsx,/var/tmp/cache/vcczck.xlsx.encrypted,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,1,0,1,0,1
2026-01-19 11:30:31,app1,41724,31,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/scratch/pifyd.xlsx,/var/tmp/scratch,pifyd.xlsx,.xlsx,,0,,,0,0,0,,2026-01-19 11:30:00,0,0,0,0,0
2026-01-19 10:56:14,db1,12913,27,0,root,/usr/bin/mv,/usr/bin/mv,open,/var/tmp/work/ryokxjxm.pdf,/var/tmp/work,ryokxjxm.pdf,.pdf,,0,,,0,0,0,,2026-01-19 10:56:00,0,0,0,0,0
2026-01-19 11:09:56,db1,31140,93,1002,user1,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,unlink,/srv/backup/ghcxylx.doc,/srv/backup,ghcxylx.doc,.doc,,0,,,0,0,0,,2026-01-19 11:09:00,0,1,0,0,0
2026-01-19 10:46:48,app1,41708,83,1002,user1,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/etc/rlylib.docx,/etc,rlylib.docx,.docx,,4381,,,0,1,1,CAMP-RW-001,2026-01-19 10:46:00,1,0,1,0,1
2026-01-19 10:43:03,app1,13097,23,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/etc/yjzlh.pdf,/etc,yjzlh.pdf,.pdf,,43216,,,0,1,1,CAMP-RW-001,2026-01-19 10:43:00,1,0,1,0,1
2026-01-19 10:40:13,fs1,18758,49,1001,backup,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,execve,/var/tmp/work/rlvvrvzdt.xls,/var/tmp/work,rlvvrvzdt.xls,.xls,,0,,,0,0,0,,2026-01-19 10:40:00,0,0,0,0,0
2026-01-19 10:06:05,app1,35399,86,1000,app,/usr/bin/bash,/usr/bin/bash,execve,/var/tmp/cache/mizshaznwh.bak,/var/tmp/cache,mizshaznwh.bak,.bak,,0,,,0,0,0,,2026-01-19 10:06:00,0,0,0,0,0
2026-01-19 10:49:48,app1,7425,1,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/var/lib/ywkcqrhw.xls,/var/lib,ywkcqrhw.xls,.xls,,4149,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,1,0,1,0,1
2026-01-19 10:52:52,fs1,15761,37,1000,app,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,open,/var/tmp/work/xjivxkilfj.xls,/var/tmp/work,xjivxkilfj.xls,.xls,,0,,,0,0,0,,2026-01-19 10:52:00,0,0,0,0,0
2026-01-19 10:49:16,app1,12022,88,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,open,/home/dhntpi.bak,/home,dhntpi.bak,.bak,,0,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,1,0,1,0,1
2026-01-19 10:49:43,app1,43641,5,1000,app,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/srv/data/jminmxrvz.xlsx,/srv/data,jminmxrvz.xlsx,.xlsx,,18335,,,0,1,1,CAMP-RW-001,2026-01-19 10:49:00,1,0,1,0,1
2026-01-19 09:58:55,app1,19617,56,1002,user1,/usr/local/bin/backupd,/usr/local/bin/backupd --target /srv/backup --full,write,/srv/backup/kxvbsvoeruw.bak,/srv/backup,kxvbsvoeruw.bak,.bak,,812,,,0,0,0,,2026-01-19 09:58:00,0,1,0,0,0
2026-01-19 10:50:33,app1,24235,82,1001,backup,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/etc/jhtynpsktl.pdf,/etc,jhtynpsktl.pdf,.pdf,,1829,,,0,1,1,CAMP-RW-001,2026-01-19 10:50:00,1,0,1,0,1
2026-01-19 10:19:25,fs1,9848,14,1000,app,/usr/bin/bash,/usr/bin/bash,execve,/var/tmp/cache/nskads.db,/var/tmp/cache,nskads.db,.db,,0,,,0,0,0,,2026-01-19 10:19:00,0,0,0,0,0
2026-01-19 09:53:26,db1,44085,39,0,root,/usr/bin/vim,/usr/bin/vim,execve,/var/tmp/scratch/fcmxa.cfg,/var/tmp/scratch,fcmxa.cfg,.cfg,,0,,,0,0,0,,2026-01-19 09:53:00,0,0,0,0,0
2026-01-19 11:01:16,db1,6788,75,1000,app,/usr/bin/cp,/usr/bin/cp,open,/var/tmp/cache/bjkfdh.doc,/var/tmp/cache,bjkfdh.doc,.doc,,0,,,0,0,0,,2026-01-19 11:01:00,0,0,0,0,0
2026-01-19 11:00:40,app1,35437,53,1001,backup,/usr/bin/python3,/usr/bin/python3 /opt/app/maint.py,open,/var/lib/ovfnzt.txt,/var/lib,ovfnzt.txt,.txt,,0,,,0,0,0,,2026-01-19 11:00:00,1,0,0,0,0
2026-01-19 10:42:41,app1,8055,27,0,root,/usr/bin/python3,/usr/bin/python3 /tmp/enc.py,write,/opt/app/data/ospibauu.docx,/opt/app/data,ospibauu.docx,.docx,,28458,,,0,1,1,CAMP-RW-001,2026-01-19 10:42:00,1,0,1,0,1
